person_gender,person_education,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,person_age,person_income,loan_amnt,cb_person_cred_hist_length,loan_status
male,Bachelor,1,RENT,VENTURE,6.62,0.22,586,Yes,25,144855,32000,2,0
male,Bachelor,2,RENT,HOMEIMPROVEMENT,14.17,0.27,681,No,26,114645,31050,3,1
female,High School,3,RENT,DEBTCONSOLIDATION,13.85,0.07,567,Yes,25,368115,24250,3,0
female,Associate,1,MORTGAGE,MEDICAL,13.49,0.02,669,No,26,361076,7800,4,0
male,Associate,0,OWN,EDUCATION,7.51,0.17,600,No,21,15150,2500,4,1
female,Bachelor,0,RENT,EDUCATION,18.39,0.51,606,No,22,58868,30000,2,1
male,High School,3,RENT,DEBTCONSOLIDATION,14.54,0.38,582,No,24,78026,30000,3,1
male,Bachelor,4,RENT,HOMEIMPROVEMENT,16.89,0.33,649,No,25,90785,30000,4,1
female,High School,0,RENT,DEBTCONSOLIDATION,11.01,0.35,602,No,23,86811,30000,4,1
male,Bachelor,5,RENT,MEDICAL,17.99,0.4,616,No,26,75503,30000,2,1
female,High School,0,OWN,VENTURE,12.69,0.17,631,No,24,15082,2500,3,1
male,Bachelor,5,MORTGAGE,VENTURE,7.88,0.06,684,Yes,26,361293,20000,4,0
male,High School,0,OWN,EDUCATION,19.41,0.07,637,Yes,23,361547,24250,2,0
male,Master,5,OWN,HOMEIMPROVEMENT,10.38,0.03,649,No,26,360680,10000,4,0
male,Bachelor,5,MORTGAGE,EDUCATION,15.33,0.07,695,Yes,26,360977,25000,3,0
female,Bachelor,2,MORTGAGE,HOMEIMPROVEMENT,16.45,0.05,620,No,25,361244,18000,3,0
male,Bachelor,2,RENT,PERSONAL,7.49,0.31,622,No,26,98230,30000,3,1
female,High School,0,RENT,MEDICAL,12.69,0.37,645,No,22,80838,30000,3,1
male,Master,2,RENT,DEBTCONSOLIDATION,6.62,0.28,654,No,26,107957,30000,3,1
female,Bachelor,2,RENT,DEBTCONSOLIDATION,11.01,0.32,624,No,24,94649,30000,4,1
male,High School,1,RENT,DEBTCONSOLIDATION,18.62,0.32,570,No,23,94550,30000,3,1
male,Bachelor,3,RENT,PERSONAL,15.23,0.27,648,No,23,111153,30000,3,1
female,Associate,0,RENT,VENTURE,10.65,0.26,652,No,23,117250,30000,2,1
male,Bachelor,3,RENT,EDUCATION,7.9,0.21,559,No,25,144985,30000,4,0
male,High School,7,RENT,PERSONAL,15.96,0.03,623,Yes,26,337133,10000,3,0
male,Associate,2,RENT,VENTURE,11.48,0.06,602,Yes,26,333566,20000,3,0
male,Bachelor,1,OWN,PERSONAL,11.01,0.1,609,No,23,333399,35000,4,0
male,Master,1,RENT,PERSONAL,7.29,0.19,573,Yes,25,154793,30000,4,0
male,Associate,1,OWN,VENTURE,11.01,0.11,631,Yes,24,15229,1750,3,0
female,Bachelor,0,RENT,VENTURE,5.99,0.19,623,Yes,21,158338,30000,4,0
female,Bachelor,0,OWN,VENTURE,11.58,0.04,602,Yes,22,331034,12000,2,0
female,High School,6,MORTGAGE,EDUCATION,11.01,0.03,579,No,26,316466,10000,4,1
female,Associate,0,MORTGAGE,MEDICAL,15.7,0.09,582,No,25,267671,25000,2,1
male,Master,0,RENT,EDUCATION,15.99,0.34,700,No,22,85191,29100,3,1
male,Associate,0,MORTGAGE,EDUCATION,14.84,0.1,688,No,22,15013,1500,3,0
male,Bachelor,3,OWN,HOMEIMPROVEMENT,10.99,0.09,607,Yes,26,313100,28000,3,0
female,Bachelor,0,MORTGAGE,HOMEIMPROVEMENT,14.42,0.06,661,Yes,25,311952,20000,2,0
male,High School,5,MORTGAGE,EDUCATION,6.99,0.03,562,Yes,24,306897,9600,2,0
female,Bachelor,0,RENT,MEDICAL,13.49,0.08,664,Yes,25,301136,25000,4,0
male,High School,1,OWN,MEDICAL,11.01,0.2,564,No,25,15162,3000,3,1
male,Associate,0,RENT,MEDICAL,11.01,0.41,598,No,22,69042,28000,2,1
female,High School,0,OWN,EDUCATION,13.61,0.2,557,No,21,15307,3000,3,1
female,Associate,0,RENT,EDUCATION,7.9,0.35,677,No,23,79183,28000,2,1
male,Bachelor,4,RENT,VENTURE,7.49,0.27,690,No,26,102654,28000,3,1
male,Associate,1,OWN,EDUCATION,7.51,0.4,599,No,26,15229,6100,3,1
male,High School,0,RENT,VENTURE,9.91,0.26,604,No,22,106566,28000,3,1
female,Bachelor,0,OWN,PERSONAL,13.48,0.28,663,No,21,15252,4200,4,1
male,Bachelor,3,OWN,DEBTCONSOLIDATION,7.14,0.31,601,No,22,15432,4750,2,1
male,High School,1,RENT,VENTURE,15.99,0.28,634,No,24,100332,28000,4,1
male,Bachelor,2,RENT,EDUCATION,12.98,0.06,671,No,24,300951,18000,3,0
female,Bachelor,1,RENT,DEBTCONSOLIDATION,12.69,0.23,622,No,25,121062,28000,3,0
male,Associate,1,RENT,EDUCATION,8.9,0.21,538,Yes,26,133372,28000,2,0
male,Bachelor,0,OWN,DEBTCONSOLIDATION,11.01,0.17,587,No,26,15505,2700,4,1
male,Master,0,RENT,EDUCATION,11.01,0.21,683,No,22,130852,28000,4,1
male,Associate,0,RENT,DEBTCONSOLIDATION,11.11,0.15,634,Yes,23,182316,28000,2,0
female,Bachelor,3,RENT,HOMEIMPROVEMENT,11.01,0.33,690,No,24,83853,27600,2,1
female,Bachelor,0,MORTGAGE,DEBTCONSOLIDATION,15.68,0.21,518,No,21,15394,3250,3,1
female,Bachelor,0,RENT,EDUCATION,13.06,0.32,583,No,22,85243,27500,3,1
male,Associate,2,OWN,PERSONAL,11.01,0.09,617,Yes,22,288907,25000,2,0
male,Associate,4,RENT,VENTURE,15.62,0.3,668,No,26,89074,27050,2,1
male,Master,2,RENT,PERSONAL,13.49,0.27,673,No,24,100509,27000,2,1
male,High School,3,RENT,VENTURE,11.01,0.3,706,No,24,88950,27000,3,1
female,High School,1,RENT,MEDICAL,11.71,0.34,536,No,23,75894,26000,2,1
male,Associate,0,RENT,EDUCATION,12.69,0.18,557,Yes,23,145092,25600,3,0
female,Bachelor,1,OWN,MEDICAL,13.57,0.1,689,Yes,24,15928,1600,3,0
male,Bachelor,3,RENT,VENTURE,10.99,0.35,681,No,22,73131,25475,3,1
male,Master,4,MORTGAGE,MEDICAL,14.27,0.07,623,Yes,25,281501,20000,4,0
female,Associate,0,OWN,HOMEIMPROVEMENT,8.88,0.07,595,Yes,24,281775,20000,4,0
male,Bachelor,1,MORTGAGE,HOMEIMPROVEMENT,12.18,0.08,584,Yes,26,281792,21600,3,0
male,Bachelor,4,MORTGAGE,DEBTCONSOLIDATION,14.42,0.04,669,No,25,266090,11900,3,1
male,High School,3,MORTGAGE,MEDICAL,14.17,0.09,642,Yes,26,279664,25000,2,0
female,High School,4,MORTGAGE,MEDICAL,13.99,0.13,622,Yes,25,277017,35000,4,0
male,Associate,0,RENT,EDUCATION,10.99,0.25,689,No,23,100756,25300,3,1
male,High School,1,MORTGAGE,PERSONAL,5.42,0.12,614,No,22,16218,2000,4,1
female,Bachelor,2,OWN,PERSONAL,13.61,0.11,597,Yes,25,16211,1750,3,0
female,Bachelor,3,RENT,EDUCATION,12.73,0.48,673,No,21,51922,25000,3,1
male,Associate,3,RENT,HOMEIMPROVEMENT,11.01,0.5,625,No,24,50309,25000,3,1
male,High School,0,OWN,DEBTCONSOLIDATION,12.87,0.18,603,No,25,16378,3000,4,1
male,Bachelor,0,MORTGAGE,HOMEIMPROVEMENT,9.91,0.22,589,No,24,16572,3650,3,1
male,Master,5,MORTGAGE,HOMEIMPROVEMENT,11.49,0.07,670,Yes,26,272201,20000,4,0
female,Bachelor,3,MORTGAGE,HOMEIMPROVEMENT,19.91,0.11,637,Yes,25,271324,30000,2,0
male,Associate,2,MORTGAGE,EDUCATION,10.65,0.14,643,No,26,256862,35000,2,1
male,High School,0,RENT,MEDICAL,11.01,0.02,508,Yes,24,271342,6000,4,0
male,High School,2,MORTGAGE,DEBTCONSOLIDATION,11.83,0.27,643,No,24,16470,4500,4,1
male,High School,0,OWN,DEBTCONSOLIDATION,13.49,0.14,505,No,23,16599,2400,2,1
male,Bachelor,0,RENT,MEDICAL,14.59,0.48,593,No,22,51608,25000,2,1
female,Master,6,RENT,EDUCATION,9.64,0.43,686,No,26,58516,25000,4,1
female,Associate,4,OWN,MEDICAL,14.59,0.22,646,No,25,16395,3600,3,1
female,Bachelor,0,OWN,EDUCATION,11.01,0.28,645,No,22,16890,4750,3,1
female,Associate,3,RENT,EDUCATION,16.35,0.48,697,No,25,51747,25000,3,1
male,High School,0,RENT,EDUCATION,10.99,0.42,648,No,21,59864,25000,2,1
male,Master,1,MORTGAGE,VENTURE,18.67,0.09,640,Yes,25,270972,25000,2,0
male,Bachelor,5,RENT,EDUCATION,9.32,0.01,681,No,26,270870,3000,4,0
female,Associate,0,RENT,DEBTCONSOLIDATION,8.63,0.03,646,No,23,270729,7500,2,0
male,Bachelor,4,MORTGAGE,VENTURE,10.08,0.09,615,Yes,26,270877,25000,2,0
male,Associate,0,RENT,PERSONAL,11.83,0.41,687,No,22,60501,25000,3,1
male,High School,1,RENT,DEBTCONSOLIDATION,7.9,0.41,650,No,23,60754,25000,3,1
male,Bachelor,0,RENT,HOMEIMPROVEMENT,5.99,0.41,588,No,25,60829,25000,2,1
male,Bachelor,2,RENT,DEBTCONSOLIDATION,15.33,0.46,652,No,24,53825,25000,2,1
male,High School,0,RENT,VENTURE,11.83,0.41,658,No,23,60801,25000,4,1
male,High School,0,RENT,VENTURE,10.36,0.41,634,No,22,60747,25000,2,1
female,High School,0,RENT,VENTURE,12.23,0.41,623,No,22,61029,25000,3,1
female,Associate,0,RENT,EDUCATION,11.11,0.4,635,No,22,63236,25000,4,1
female,Bachelor,0,OWN,DEBTCONSOLIDATION,7.9,0.29,531,No,23,17149,4950,4,1
female,Master,4,MORTGAGE,EDUCATION,11.58,0.09,665,Yes,24,265066,25000,2,0
male,Associate,2,MORTGAGE,DEBTCONSOLIDATION,8.9,0.08,703,No,23,260205,21000,3,0
female,Associate,5,MORTGAGE,EDUCATION,16.07,0.1,585,Yes,25,260035,25000,3,0
female,Bachelor,4,MORTGAGE,EDUCATION,14.22,0.08,594,No,26,260444,20000,2,0
male,Bachelor,0,MORTGAGE,MEDICAL,14.79,0.14,618,Yes,23,258980,35000,3,0
male,High School,2,MORTGAGE,EDUCATION,7.88,0.05,626,Yes,26,259081,12000,2,0
male,High School,0,RENT,PERSONAL,13.22,0.39,695,No,23,63497,25000,2,1
female,Doctorate,2,RENT,DEBTCONSOLIDATION,11.86,0.44,690,No,26,56325,25000,4,1
male,Bachelor,0,RENT,EDUCATION,13.43,0.39,574,No,22,64842,25000,4,1
female,High School,0,RENT,HOMEIMPROVEMENT,15.28,0.43,602,No,26,57856,25000,2,1
male,Associate,0,RENT,VENTURE,17.93,0.44,679,No,23,57318,25000,2,1
female,High School,2,MORTGAGE,EDUCATION,9.25,0.08,615,No,23,16916,1400,4,0
male,Master,0,OWN,VENTURE,12.98,0.27,601,No,21,16664,4500,4,1
male,Associate,0,MORTGAGE,VENTURE,10.62,0.06,577,Yes,22,252803,16000,4,0
female,Associate,3,OWN,PERSONAL,11.83,0.09,588,Yes,26,253061,22000,4,0
male,Bachelor,8,RENT,VENTURE,18.43,0.43,595,No,26,58602,25000,2,1
male,High School,2,RENT,EDUCATION,11.01,0.37,653,No,22,67012,25000,4,1
female,Master,3,RENT,HOMEIMPROVEMENT,11.01,0.38,663,No,24,66643,25000,4,1
male,Bachelor,0,RENT,EDUCATION,11.36,0.38,653,No,23,66599,25000,3,1
male,Associate,2,RENT,EDUCATION,15.65,0.37,598,No,23,67212,25000,3,1
female,High School,1,RENT,PERSONAL,13.22,0.37,630,No,24,66918,25000,4,1
male,Associate,2,RENT,DEBTCONSOLIDATION,12.87,0.37,637,No,26,68066,25000,2,1
male,Associate,1,OWN,MEDICAL,13.04,0.08,660,Yes,24,245545,20000,3,0
male,Associate,0,MORTGAGE,EDUCATION,17.58,0.1,639,No,23,229083,22000,3,1
male,High School,0,OWN,PERSONAL,17.04,0.43,626,No,23,17859,7750,4,1
female,Associate,3,RENT,PERSONAL,10.99,0.34,612,No,24,72608,25000,3,1
male,Bachelor,1,RENT,PERSONAL,11.11,0.34,628,No,24,73073,25000,3,1
female,Master,2,RENT,DEBTCONSOLIDATION,14.83,0.38,592,No,26,65880,25000,2,1
male,High School,1,OWN,DEBTCONSOLIDATION,11.01,0.23,580,No,23,17755,4000,3,1
male,Bachelor,3,RENT,MEDICAL,12.69,0.05,634,No,24,241180,12000,2,0
male,Associate,3,MORTGAGE,HOMEIMPROVEMENT,13.49,0.05,678,No,24,240894,12000,2,0
male,High School,0,MORTGAGE,EDUCATION,14.65,0.07,557,Yes,21,240980,16000,4,0
male,Bachelor,3,RENT,HOMEIMPROVEMENT,16.82,0.38,672,No,25,65742,25000,4,1
male,Bachelor,0,RENT,PERSONAL,12.73,0.34,613,No,23,72713,25000,3,1
male,High School,3,RENT,PERSONAL,10.25,0.34,566,No,23,72627,25000,4,1
male,Associate,0,RENT,EDUCATION,10.99,0.34,718,No,21,72843,25000,4,1
male,High School,4,RENT,MEDICAL,12.73,0.33,484,No,25,75504,25000,2,1
female,High School,0,RENT,HOMEIMPROVEMENT,14.96,0.36,634,No,22,68824,25000,3,1
female,Bachelor,2,MORTGAGE,EDUCATION,11.01,0.12,653,Yes,23,241167,28000,2,0
male,Bachelor,0,MORTGAGE,DEBTCONSOLIDATION,13.99,0.1,699,No,21,241060,25000,2,0
male,High School,0,MORTGAGE,VENTURE,7.49,0.1,656,Yes,24,240855,24000,4,0
male,High School,3,MORTGAGE,EDUCATION,14.79,0.06,626,Yes,26,241030,15000,3,0
male,High School,2,MORTGAGE,DEBTCONSOLIDATION,11.99,0.06,659,No,25,240895,15500,2,0
female,High School,4,RENT,EDUCATION,8.49,0.04,604,Yes,24,240932,10000,4,0
male,Associate,1,RENT,EDUCATION,9.91,0.31,636,No,24,80145,25000,2,1
male,Master,0,RENT,EDUCATION,13.06,0.31,554,No,22,80303,25000,3,1
male,High School,0,MORTGAGE,DEBTCONSOLIDATION,6.17,0.04,587,Yes,22,241048,9000,4,0
male,Bachelor,4,RENT,EDUCATION,16.32,0.07,708,Yes,25,241005,18000,3,0
female,Master,2,MORTGAGE,VENTURE,10.38,0.05,669,Yes,25,240768,12000,2,0
male,Associate,2,MORTGAGE,PERSONAL,14.35,0.1,578,No,25,241201,23050,3,0
male,Bachelor,5,MORTGAGE,DEBTCONSOLIDATION,11.01,0.08,615,No,24,240920,20000,3,0
female,Master,1,RENT,DEBTCONSOLIDATION,11.01,0.34,553,No,24,72919,25000,2,1
male,Master,0,OWN,HOMEIMPROVEMENT,11.01,0.17,635,No,21,18008,3000,4,1
female,Associate,3,RENT,PERSONAL,15.21,0.31,531,No,26,81238,25000,2,1
male,High School,1,RENT,EDUCATION,7.9,0.31,621,No,23,80868,25000,4,1
male,Bachelor,1,RENT,VENTURE,10.99,0.31,674,No,24,81537,25000,3,1
female,Associate,0,RENT,PERSONAL,14.09,0.3,688,No,24,82741,25000,3,1
female,High School,3,RENT,PERSONAL,17.49,0.3,597,No,25,83901,25000,2,1
male,Associate,1,MORTGAGE,EDUCATION,11.48,0.05,640,No,25,240717,12000,3,0
female,Associate,0,MORTGAGE,VENTURE,17.74,0.09,621,No,26,226744,20000,2,1
female,Bachelor,5,MORTGAGE,PERSONAL,13.92,0.01,608,Yes,26,241114,3000,3,0
male,Bachelor,3,RENT,EDUCATION,15.21,0.29,653,No,25,85284,25000,3,1
female,Bachelor,0,OWN,MEDICAL,10.99,0.22,585,No,22,18152,4000,3,1
female,High School,3,RENT,EDUCATION,11.86,0.29,569,No,24,84871,25000,4,1
male,Bachelor,2,OWN,PERSONAL,7.49,0.33,587,No,24,18294,6000,3,1
male,Bachelor,1,RENT,MEDICAL,16.49,0.37,631,No,24,68029,25000,4,1
female,High School,4,RENT,VENTURE,15.33,0.31,592,No,25,80001,25000,2,1
female,High School,6,RENT,HOMEIMPROVEMENT,11.58,0.31,679,No,26,79875,25000,4,1
male,High School,1,OWN,EDUCATION,5.79,0.29,645,No,25,18449,5375,2,1
male,Associate,0,RENT,MEDICAL,13.11,0.28,669,No,25,88153,25000,2,1
female,Bachelor,0,RENT,MEDICAL,10.36,0.28,653,No,23,90109,25000,3,1
male,Bachelor,1,RENT,DEBTCONSOLIDATION,10.36,0.27,577,No,25,90938,25000,2,1
male,High School,0,RENT,MEDICAL,11.01,0.1,668,Yes,24,231335,22000,2,0
male,Bachelor,0,MORTGAGE,VENTURE,6.54,0.09,629,No,21,231829,20000,4,0
female,Associate,4,MORTGAGE,MEDICAL,12.53,0.04,643,No,25,230516,10000,4,0
male,Bachelor,0,MORTGAGE,PERSONAL,11.01,0.07,626,No,26,229626,15000,3,0
male,Bachelor,0,MORTGAGE,VENTURE,11.01,0.04,560,Yes,22,228907,10000,3,0
male,Bachelor,0,RENT,EDUCATION,10.25,0.27,648,No,24,90938,25000,4,1
male,Associate,0,RENT,EDUCATION,15.95,0.29,648,No,22,86284,25000,4,1
male,Associate,3,MORTGAGE,VENTURE,12.18,0.09,669,Yes,26,228774,20000,4,0
male,High School,2,OWN,PERSONAL,11.83,0.1,536,Yes,23,229027,24000,3,0
male,High School,1,RENT,DEBTCONSOLIDATION,11.01,0.26,548,No,23,94789,25000,2,1
female,Master,0,RENT,VENTURE,10.62,0.26,667,No,23,94780,25000,3,1
male,High School,0,RENT,VENTURE,10.74,0.26,676,No,23,95298,25000,3,1
male,Associate,1,OWN,VENTURE,10.25,0.04,570,Yes,25,223944,10000,4,0
male,High School,0,MORTGAGE,EDUCATION,12.42,0.16,623,No,24,222629,35000,2,0
female,Bachelor,2,RENT,VENTURE,15.27,0.07,652,Yes,25,222973,15000,2,0
female,High School,1,RENT,MEDICAL,15.33,0.33,625,No,24,75240,25000,2,1
female,High School,1,RENT,VENTURE,15.21,0.26,642,No,23,96143,25000,2,1
male,Bachelor,0,OWN,VENTURE,14.72,0.35,580,No,21,18064,6250,2,1
male,Associate,2,RENT,PERSONAL,15.7,0.26,622,No,24,96627,25000,2,1
male,Bachelor,3,RENT,EDUCATION,13.35,0.26,581,No,24,96309,25000,4,1
female,High School,1,MORTGAGE,MEDICAL,11.01,0.08,623,No,21,18421,1500,4,0
male,Master,1,RENT,EDUCATION,6.62,0.26,583,No,24,96836,25000,2,1
male,Bachelor,4,RENT,DEBTCONSOLIDATION,13.61,0.26,645,No,26,96947,25000,4,1
female,Associate,2,RENT,MEDICAL,11.36,0.11,593,Yes,22,222975,25000,2,0
male,Associate,3,OWN,PERSONAL,7.68,0.02,659,Yes,26,222985,5000,2,0
female,Bachelor,0,RENT,HOMEIMPROVEMENT,14.46,0.1,655,Yes,24,223064,22000,4,0
male,Associate,2,OWN,EDUCATION,11.83,0.01,583,Yes,23,221559,2500,2,0
female,Associate,0,MORTGAGE,DEBTCONSOLIDATION,13.47,0.1,582,No,24,207712,20000,4,1
female,Bachelor,1,MORTGAGE,MEDICAL,11.49,0.09,504,Yes,24,220872,20000,3,0
male,High School,0,MORTGAGE,EDUCATION,11.01,0.0,551,Yes,22,220518,1000,2,0
female,Associate,1,MORTGAGE,PERSONAL,6.03,0.07,529,Yes,25,220510,15000,3,0
female,Bachelor,0,RENT,DEBTCONSOLIDATION,16.35,0.28,674,No,23,89818,25000,4,1
female,High School,4,RENT,DEBTCONSOLIDATION,11.01,0.28,595,No,26,90006,25000,4,1
female,High School,6,RENT,DEBTCONSOLIDATION,7.29,0.25,597,No,25,98704,25000,3,1
male,High School,5,RENT,MEDICAL,11.36,0.25,566,No,23,98967,25000,3,1
male,High School,3,RENT,VENTURE,10.25,0.25,666,No,24,99435,25000,2,0
female,Bachelor,1,RENT,EDUCATION,11.12,0.25,695,No,24,100658,25000,3,0
female,Bachelor,2,RENT,PERSONAL,12.92,0.25,576,Yes,24,100435,25000,3,0
male,High School,5,RENT,EDUCATION,18.64,0.08,651,Yes,24,216925,18000,4,0
female,Bachelor,0,MORTGAGE,PERSONAL,7.51,0.13,633,Yes,23,216891,28000,3,0
male,Master,1,OWN,HOMEIMPROVEMENT,16.7,0.22,566,No,23,18512,4000,2,1
male,Master,0,OWN,PERSONAL,11.14,0.11,583,No,22,18367,2100,4,0
female,Associate,0,RENT,PERSONAL,18.3,0.24,586,Yes,22,102317,25000,4,0
female,Associate,4,RENT,MEDICAL,10.62,0.24,592,Yes,24,103400,25000,4,0
male,Bachelor,2,MORTGAGE,VENTURE,11.99,0.06,598,Yes,24,217134,14000,2,0
male,Master,1,MORTGAGE,VENTURE,9.63,0.06,637,Yes,26,217024,12000,4,0
female,High School,5,MORTGAGE,MEDICAL,18.25,0.06,628,No,25,172215,10000,4,1
male,Master,0,MORTGAGE,DEBTCONSOLIDATION,11.01,0.32,667,No,23,18831,6000,4,1
male,Associate,5,RENT,HOMEIMPROVEMENT,14.84,0.24,621,Yes,24,105349,25000,3,0
male,Bachelor,1,RENT,VENTURE,14.7,0.27,668,No,24,91184,25000,3,1
female,High School,1,RENT,DEBTCONSOLIDATION,16.02,0.27,544,No,23,91886,25000,4,1
male,Associate,2,RENT,MEDICAL,15.37,0.31,699,No,23,80452,25000,2,1
female,Bachelor,2,RENT,MEDICAL,10.99,0.23,611,No,25,108758,25000,4,0
male,Associate,0,OWN,HOMEIMPROVEMENT,7.9,0.33,615,No,21,18916,6200,2,1
female,High School,5,OWN,PERSONAL,10.99,0.12,559,Yes,26,217234,25000,4,0
female,High School,0,OWN,EDUCATION,11.48,0.1,577,Yes,24,217017,21000,3,0
male,High School,1,OWN,MEDICAL,14.26,0.09,657,Yes,25,216874,20000,4,0
male,Associate,5,OWN,HOMEIMPROVEMENT,8.0,0.05,676,Yes,26,216833,10000,4,0
male,Bachelor,0,MORTGAGE,VENTURE,11.26,0.05,601,No,25,216483,9950,2,0
female,Master,2,OWN,MEDICAL,11.01,0.24,647,No,23,19000,4475,4,1
female,Master,0,RENT,VENTURE,16.32,0.26,576,No,23,94363,25000,3,1
male,Master,3,RENT,MEDICAL,17.93,0.31,612,No,25,80570,25000,4,1
male,Bachelor,0,RENT,DEBTCONSOLIDATION,11.36,0.23,678,No,23,109167,25000,3,0
female,Associate,1,RENT,DEBTCONSOLIDATION,14.96,0.26,542,No,24,95753,25000,4,1
female,Associate,1,RENT,PERSONAL,13.43,0.23,709,Yes,24,110935,25000,3,0
male,Associate,2,RENT,HOMEIMPROVEMENT,12.69,0.22,622,Yes,25,111490,25000,3,0
male,Associate,4,RENT,VENTURE,12.73,0.22,642,Yes,24,111729,25000,4,0
female,High School,0,RENT,VENTURE,15.21,0.22,660,No,23,113396,25000,4,0
female,Bachelor,1,MORTGAGE,MEDICAL,12.68,0.09,587,Yes,23,19175,1750,3,0
female,High School,0,RENT,MEDICAL,19.04,0.29,646,No,23,85787,25000,4,1
female,Master,7,RENT,DEBTCONSOLIDATION,15.95,0.24,637,No,25,102114,25000,3,1
male,Bachelor,5,MORTGAGE,VENTURE,8.9,0.01,718,No,26,211005,2600,4,0
male,Master,4,MORTGAGE,HOMEIMPROVEMENT,7.9,0.04,588,Yes,25,210903,8000,2,0
male,Associate,0,MORTGAGE,EDUCATION,11.01,0.09,652,No,22,210555,18000,2,0
male,Bachelor,0,MORTGAGE,PERSONAL,11.99,0.1,620,Yes,23,210937,21000,3,0
male,High School,2,OWN,DEBTCONSOLIDATION,13.98,0.21,667,No,23,19062,4000,4,1
female,Associate,0,OWN,VENTURE,10.99,0.24,688,No,23,18926,4600,2,1
male,Associate,0,RENT,DEBTCONSOLIDATION,15.58,0.23,667,No,22,106694,25000,2,1
male,Master,4,RENT,MEDICAL,10.99,0.28,692,No,25,90718,25000,2,1
male,Bachelor,1,RENT,VENTURE,14.96,0.23,562,No,25,106668,25000,4,1
male,High School,4,OWN,HOMEIMPROVEMENT,15.31,0.09,625,Yes,25,19158,1750,4,0
male,High School,5,RENT,VENTURE,15.65,0.23,649,No,26,106419,25000,3,1
female,High School,3,RENT,VENTURE,9.33,0.21,545,Yes,25,120696,25000,4,0
male,High School,3,MORTGAGE,PERSONAL,13.47,0.19,540,No,23,19065,3600,4,1
female,Associate,0,RENT,PERSONAL,10.36,0.2,637,Yes,24,124083,25000,3,0
male,Associate,4,RENT,HOMEIMPROVEMENT,16.77,0.22,600,No,24,111673,25000,4,1
male,High School,1,RENT,DEBTCONSOLIDATION,14.59,0.22,633,No,23,112633,25000,2,1
male,High School,0,RENT,VENTURE,11.91,0.02,588,No,22,210938,3500,2,0
female,Associate,2,MORTGAGE,EDUCATION,8.38,0.03,624,Yes,23,210720,7200,3,0
